C,Test_error,Train_error,kernel_h_p
39,96.97802198,100,38
39,96.97802198,100,39
39,96.97802198,100,40
40,96.15384615,99.9214454,21
40,96.97802198,100,22
40,96.97802198,100,23
40,96.97802198,100,24
40,96.97802198,100,25
40,96.97802198,100,26
40,96.97802198,100,27
40,96.97802198,100,28
40,96.97802198,100,29
40,96.97802198,100,30
40,97.25274725,100,31
40,96.97802198,100,32
40,96.97802198,100,33
40,96.97802198,100,34
40,96.97802198,100,35
40,96.97802198,100,36
40,96.97802198,100,37
40,96.97802198,100,38
40,96.97802198,100,39
40,96.97802198,100,40
1,96.97802197802197,100.0,41
1,96.97802197802197,100.0,42
1,96.97802197802197,100.0,43
1,96.97802197802197,100.0,44
1,96.97802197802197,100.0,45
1,96.97802197802197,100.0,46
1,96.97802197802197,100.0,47
1,96.97802197802197,100.0,48
1,96.97802197802197,100.0,49
1,96.97802197802197,100.0,50
1,96.97802197802197,100.0,51
1,96.97802197802197,100.0,52
1,96.97802197802197,100.0,53
1,96.97802197802197,100.0,54
1,96.97802197802197,100.0,55
1,96.97802197802197,100.0,56
1,96.97802197802197,100.0,57
1,96.97802197802197,100.0,58
1,96.97802197802197,100.0,59
